Localité,TYPE_POINT,FONCTIONNE,COMITE_GES,RESID_ART_,LOCALISATI,ANNEE_IN_1,lon,lat,PREF_NOM,SPREF_NOM,COM_NOM
Bria,Puits traditionnel,Oui,Non,,Ecole,Plus de 10 ans,21.99910000000,6.53214000000,Haute-Kotto,Bria,Samba-Boungou
Koyassi 1,Puits traditionnel,Non,,,Communaute,Moins de 5 ans,21.89860000000,6.54012000000,Haute-Kotto,Bria,Samba-Boungou
Koyassi 2,Puits traditionnel,Oui,,,Communaute,,21.87940000000,6.53654000000,Haute-Kotto,Bria,Samba-Boungou
Ngadja,Puits traditionnel,Oui,,,Communaute,Plus de 10 ans,21.93860000000,6.54848000000,Haute-Kotto,Bria,Samba-Boungou
Mbrepou,Puits traditionnel,Oui,,,Communaute,,20.77250000000,5.82585000000,Ouaka,Bambari,Danga-Gboudou
Ngoubi 3,Puits traditionnel,Oui,Non,Hors du village,Communaute,Moins de 10 ans,21.86460000000,6.53066000000,Haute-Kotto,Bria,Samba-Boungou
Ouandago 11,Puits moderne,Oui,Oui,Dans le village,Communaute,,18.83944400000,7.25472222000,Ouham,Kabo,Ouaki
Nguerengou,Puits traditionnel,Oui,Non,,Communaute,Plus de 10 ans,21.86540000000,7.23117000000,Haute-Kotto,Bria,Samba-Boungou
Ouandago 7,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.84277800000,7.25833333000,Ouham,Kabo,Ouaki
Pk 18 Ngoubi,Puits traditionnel,Oui,Non,,Communaute,Plus de 10 ans,21.85710000000,6.52795000000,Haute-Kotto,Bria,Samba-Boungou
Outa,Puits moderne,Non,Non,Hors du village,Communaute,Moins de 5 ans,18.90810000000,7.20716000000,Nana-Gribizi,Kaga-Bandoro,Nana-Outa
Yagoleka,Puits traditionnel,Oui,Non,Hors du village,Communaute,Moins de 10 ans,22.10000000000,6.51777000000,Haute-Kotto,Bria,Daba Nydou
